column, desc, unit\PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:L-TK2004_RS_12HR_SQL, TK2004 Reactive Sulphur 12hrly, 
PPO:L-TK2004_RS_3HR, TK2004 Reactive Sulphur 3hrly, 
PPO:L-TK2004_RS_3HR_SQL, TK2004 Reactive Sulphur 3hrly, 
PPO:L-TK2004_S2_Grab, TK2004 Sulphur Assay, 
PPO:AG2004-AMPS, PREOX TANK TK2004 AGITATOR AMPS, 
PPO:PU2030:PU2030-STAT, TK2004 Pre-Ox Pump, 
PPO:TK2004:LI7004, TK2004 Pre-Ox Tank Level, 
PPO:L-TK2005_RS_12HR_SQL, TK2005 Reactive Sulphur 12hrly, 
PPO:L-TK2005_RS_3HR, TK2005 Reactive Sulphur 3hrly, 
PPO:L-TK2005_RS_3HR_SQL, TK2005 Reactive Sulphur 3hrly, 
PPO:L-TK2005_S2_Grab, TK2005 Sulphur Assay, 
PPO:Model_PreOx_Ss%, PreOx Ss % Prediction, 
PPO:AG2005-AMPS, PREOX TANK TK2005 AGITATOR AMPS, 
PPO:PU2031:PU2031-STAT, TK2005 Pre-Ox Pump, 
PPO:TK2005:LI7005, TK2005 Pre-Ox Tank Level, 
PPO:L-ACFD_As_12HR, AC Feed As 12hrly, 
PPO:L-ACFD_As_12HR_SQL, AC Feed As 12hrly, 
PPO:L-ACFD_AU_12HR, AC Feed Au 12hrly, 
PPO:L-ACFD_AU_12HR_SQL, AC Feed Au 12hrly, 
PPO:L-ACFD_CACO3_12HR, AC Feed CaCO3 12hrly, 
PPO:L-ACFD_CACO3_12HR_SQL, AC Feed CaCO3 12hrly, 
PPO:L-ACFD_CACO3_2HR, AC Feed CaCO3 2hrly, 
PPO:L-ACFD_CACO3_2HR_SQL, AC Feed CaCO3 2hrly, 
PPO:L-ACFD_CL_12HR, AC Feed Cl 12hrly, 
PPO:L-ACFD_CL_12HR_SQL, AC Feed Cl 12hrly, 
PPO:L-ACFD_FE_12HR, AC Feed Fe 12hrly, 
PPO:L-ACFD_FE_12HR_SQL, AC Feed Fe 12hrly, 
PPO:L-ACFD_PH_12HR, AC Feed pH 12hrly, 
PPO:L-ACFD_PH_12HR_SQL, AC Feed pH 12hrly, 
PPO:L-ACFD_PH_2HR, AC Feed pH 2hrly, 
PPO:L-ACFD_PH_2HR_SQL, AC Feed pH 2hrly, 
PPO:L-ACFD_R_AU_12HR, AC Feed Au 12hrly Dup, 
PPO:L-ACFD_R_AU_12HR_SQL, AC Feed Au 12hrly Dup, 
PPO:L-ACFD_R_S2_12HR, AC Feed S2 12hrly Dup, 
PPO:L-ACFD_R_S2_12HR_SQL, AC Feed S2 12hrly Dup, 
PPO:L-ACFD_R2_AU_12HR, AC Feed Au 12hrly, 
PPO:L-ACFD_R2_S2_12HR, AC Feed S2 12hrly Dup, 
PPO:L-ACFD_R3_AU_12HR, AC Feed Au 12hrly Dup, 
PPO:L-ACFD_R3_S2_12HR, AC Feed S2 12hrly, 
PPO:L-ACFD_RS_12HR_SQL, AC Feed Reactive Sulphur 12hrly, 
PPO:L-ACFD_RS_2HR, AC Feed Reactive Sulphur 2hrly, 
PPO:L-ACFD_RS_2HR_SQL, AC Feed Reactive Sulphur 2hrly, 
PPO:L-ACFD_S2_12HR, AC Feed S2 12hrly, 
PPO:L-ACFD_S2_12HR_SQL, AC Feed S2 12hrly, 
PPO:L-ACFD_S2_2HR, AC Feed S2 2hrly, 
PPO:L-ACFD_S2_2HR_SQL, AC Feed S2 2hrly, 
PPO:L-ACFD_SOLIDS_12HR, AC Feed %Sol 12hrly, 
PPO:L-ACFD_SOLIDS_12HR_SQL, AC Feed %Sol 12hrly, 
PPO:PU035:DI045, AC Feed Density, 
PPO:PU741:DI880, HX Feed Density, 
PPO:PU741:DI880 - Unbridged, HX Feed Density, 
PPO:PU741-AMPS, HX Bstr_Pmp1 Current, 
PPO:PU741-SPD, HX Bstr_Pmp1 Speed, 
PPO:PU741-STAT, HX Bstr_Pmp1, 
PPO:PU742-AMPS, HX Bstr_Pmp2 Amps, 
PPO:PU742-SPD, HX Bstr_Pmp2 Speed, 
PPO:PU742-STAT, HX Bstr_Pmp2, 
PPO:PU801:TI880A, HX AC Feed_Line2 Temp., 
PPO:PU742:FIC880-MODE, HX Bstr_Pmp Line Temp., Note: Tag/ Description incorrect mismatch
PPO:PU742:FIC880-OP, HX Bstr_Pmp Line Temp., 
PPO:PU742:FIC880-PV, HX Bstr_Pmp Line Temp., 
PPO:PU742:FIC880-SP, HX Bstr_Pmp Line Temp., 
PPO:PU742:PIC880-MODE, HX Bstr_Pmp Line Press., 
PPO:PU742:PIC880-OP, HX Bstr_Pmp Line Press., 
PPO:PU742:PIC880-PV, HX Bstr_Pmp Line Press., 
PPO:PU742:PIC880-SP, HX Bstr_Pmp Line Press., 
PPO:PU742:TIC880-MODE, HX Bstr_Pmp Line Temp., 
PPO:PU742:TIC880-OP, HX Bstr_Pmp Line Temp., 
PPO:PU742:TIC880-PV, HX Bstr_Pmp Line Temp., 
PPO:PU742:TIC880-SP, HX Bstr_Pmp Line Temp., 
PPO:PU801:PI880A, HX Bstr_Pmp Line2 Press., 
PPO:HX021:HV841, HX Vsl1 Main Fd Valve, 
PPO:HX021:HV846, HX Vsl1 Top Fd Valve, 
PPO:HX021:HX836B-MODE, Pinch Valve Mode, 
PPO:HX021:HX836B-OP, Pinch Valve Output, 
PPO:HX021:LI840, HX Vsl1 Level, 
PPO:HX021:LIC837-MODE, HX Master Level, 
PPO:HX021:LIC837-OP, HX Master Level, 
PPO:HX021:LIC837-PV, HX Master Level, 
PPO:HX021:LIC837-SP, HX Master Level, 
PPO:HX021:TI842, HX Vsl1 Slurry Temp., 
PPO:HX021:TIC842-MODE, HX Vsl1 Slurry Temp., 
PPO:HX022:HV851, HX Vsl2 Main Fd Valve, 
PPO:HX022:HV856, HX Vsl2 Top Fd Valve, 
PPO:HX022:LI850, HX Vsl2 Level, 
PPO:HX022:TI852, HX Vsl2 Slurry Temp., 
PPO:HX022:TIC852-MODE, HX Vsl2 Slurry Temp., 
PPO:HX023:HV861, HX Vsl3 Main Fd Valve, 
PPO:HX023:HV866, HX Vsl3 Top Fd Valve, 
PPO:HX023:LI860, HX Vsl3 Level, 
PPO:HX023:TI862, HX Vsl3 Slurry Temp., 
PPO:HX023:TIC862-MODE, HX Vsl3 Slurry Temp., 
PPO:HX023_AC4:ZSC870, PU741 FEED VALVE CLOSE LIMIT, 
PPO:HX023_AC4:ZSO870, PU741 FEED VALVE OPEN LIMIT, 
PPO:HX023_AC4:ZSC871, PU742 FEED VALVE CLOSE LIMIT, 
PPO:HX023_AC4:ZSO871, PU742 FEED VALVE OPEN LIMIT, 
PPO:HX22_23:DIT8045, AC1/2/3 CARRY OVER DENSITY, 
PPO:HX22_23:FIT8045, AC1/2/3 CARRY OVER FLOW, 
PPO:HX22_23:WI8045, AC1/2/3 CALC MASS FLOW RATE IN %, 
PPO:HX21_22:FIT7006, AC4  CARRY OVER FLOW, 
PPO:HX21_22:WC7006, AC4 CALC MASS FLOW RATE, 
PPO:HX21_22:WI7006, AC4  CALC MASS FLOW RATE IN %, 
PPO:HX22_23:WC8045, AC4 CALC MASS FLOW RATE, 
PPO:HX21_22:DIT7006, AC4  CARRY OVER DENSITY, 
PPO:HX021_22_23:ZIC844-MODE, PH2 Slurry Bypass Vlv Cntrl MODE, 
PPO:HX021_22_23:ZIC844-OP, PH2 Slurry Bypass Vlv Cntrl OUTPUT, 
PPO:HX021_22_23:ZIC844-PV, PH2 Slurry Bypass Vlv Cntrl INPUT, 
PPO:HX021_22_23:ZIC844-SP, PH2 Slurry Bypass Vlv Cntrl SETPOINT, 
PPO:HX021_22_23-ZI844, PREHEAT CCT 2 BYPASS VLV POS, 
PPO:HX021_22_23:ZSC836A, PREOX TRAIN 1 HEATER FEED VALVE CLOSE LIMIT, 
PPO:HX021_22_23:ZSC836B, PREOX TRAIN 1 HEATER FEED VALVE CLOSE LIMIT, 
PPO:HX021_22_23:HV7084, HX022 L.T. HEATER VESSEL FEED - TRAIN No.2, 
PPO:AC4_STRAINRS:ZSO7179A, AC#4 FEED POST-STRAINER BLEED OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSO7179B, AC#4 FEED POST-STRAINER BLEED OPEN LIMIT, 
PPO:AC4_STRNRS:ZSC7179A, AC#4 FEED POST-STRAINER BLEED CLOSE LIMIT, 
PPO:AC4_STRAINRS-PI7171, AC#4 Feed1 Pre Strainer Press, 
PPO:AC4_STRAINRS-PI7177, AC#4 Feed2 Pre Strainer Press, 
PPO:AC4_STRAINRS:ZSC7175A, AC#4 FEED PRE-STRAINER BLEED CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7175B, AC#4 FEED PRE-STRAINER BLEED CLOSE LIMIT, 
PPO:AC4_STRAINERS:ZS07176D, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSC7176A, AC#4 FEED STRAINER No.1 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7176C, AC#4 FEED STRAINER No.1 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7176D, AC#4 FEED STRAINER No.1 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSO7176A, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSO7176B, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSO7176C, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSO7176D, AC#4 FEED STRAINER No.1 OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSC7178A, AC#4 FEED STRAINER No.2 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7178B, AC#4 FEED STRAINER No.2 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7178C, AC#4 FEED STRAINER No.2 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSC7178D, AC#4 FEED STRAINER No.2 CLOSE LIMIT, 
PPO:AC4_STRAINRS:ZSO7178A, AC#4 FEED STRAINER No.2 OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSO7178B, AC#4 FEED STRAINER No.2 OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSO7178C, AC#4 FEED STRAINER No.2 OPEN LIMIT, 
PPO:AC4_STRAINRS:ZSO7178D, AC#4 FEED STRAINER No.2 OPEN LIMIT, 
PPO:AC4_STRAINRS:PDI7186, AC#4 Feed Strainer 1 Diff Press, 
PPO:AC4_STRAINRS:PDI7187, AC#4 Feed Strainer 2 Diff Press, 
PPO:AC4_STRAINRS-PI7180A, AC#4 Feed1 Post Strainer Press, 
PPO:AC4_STRAINRS-PI7181A, AC#4 Feed2 Post Strainer Press, 
PPO:AC4_STRAINRS:PIT7177, AC#4 FEED BOOSTER PUMP No.3 DISCHARGE, 
PPO:HX021_22_23:HV7087, AC#4 FEED BOOSTER PUMP No.2 DISCHARGE, 
PPO:PU2741:TIC7182-MODE, HX Bstr_Pmp Line Temp to AC#4, 
PPO:PU2741:TIC7182-OP, HX Bstr_Pmp Line Temp to AC#4, 
PPO:PU2741:TIC7182-PV, HX Bstr_Pmp Line Temp to AC#4, 
PPO:PU2741:TIC7182-SP, HX Bstr_Pmp Line Temp to AC#4, 
